"","id_plot","av_annual_pp","av_annual_mean_tp","av_annual_min_tp","av_annual_max_tp","int","t0","t1"
"1310",7309602501,949,3.51,-2.01,9.035,12,"C","C"
"1311",7309602502,949,3.51,-2.01,9.04,12,"C","C"
"1312",7309602601,973,1.28,-4.77,7.335,12,"T","T"
"1313",7309700102,1007,3.07,-2.44,8.575,12,"M","M"
"1314",7309700201,983,3.345,-2.18,8.87,12,"C","C"
"1315",7309700402,966,3.395,-2.125,8.91,12,"T","T"
"1316",7309800101,1135.5,2.94,-2.97,8.855,9,"T","M"
"1317",7309800202,1134.5,2.945,-2.975,8.855,9,"T","T"
"1318",7309800402,1155.5,2.625,-3.27,8.51,9,"C","C"
"1319",7309800501,1106.5,3.19,-2.715,9.1,9,"M","T"
"1320",7309800702,1128.5,2.91,-2.995,8.805,9,"C","C"
"1321",7309800902,1152,2.55,-3.35,8.455,9,"M","M"
"1322",7309801101,1166.5,2.35,-3.525,8.225,9,"M","C"
"1323",7309801501,1130.5,2.78,-3.12,8.675,9,"C","C"
"1324",7309801502,1128.5,2.8,-3.1,8.705,9,"C","C"
"1325",7309801601,1180,2.155,-3.69,8,9,"C","C"
"1326",7309801701,1158,2.415,-3.46,8.285,9,"C","C"
"1327",7309801801,1179.5,2.18,-3.665,8.02,9,"M","T"
"1328",7309801901,1127.5,2.8,-3.095,8.7,9,"T","T"
"1329",7309802101,1128,2.77,-3.105,8.65,9,"T","M"
"1330",7309802102,1127.5,2.77,-3.11,8.645,9,"C","C"
"1331",7309802201,1151,2.485,-3.36,8.33,9,"M","M"
"1333",7309802402,1134,2.685,-3.18,8.55,9,"T","C"
"1334",7309802601,1153.5,2.37,-3.435,8.17,9,"T","T"
"1335",7309802602,1151,2.4,-3.405,8.205,9,"T","T"
"1336",7309802802,1163.5,2.28,-3.535,8.09,9,"M","M"
"1337",7309803101,1169,2.18,-3.61,7.965,9,"M","M"
"1338",7309803102,1179.5,2.05,-3.72,7.825,9,"T","T"
"1339",7309803201,1169.5,2.165,-3.615,7.95,9,"C","C"
"1340",7309803302,1139.5,2.55,-3.29,8.385,9,"T","M"
"1341",7309803401,1172,2.155,-3.635,7.95,9,"C","C"
"1342",7309803402,1170,2.19,-3.605,7.985,9,"T","T"
"1343",7309803502,1192.5,1.9,-3.85,7.655,9,"M","M"
"1344",7309803601,1157,2.33,-3.48,8.13,9,"C","C"
"1345",7309803602,1157,2.325,-3.48,8.125,9,"C","C"
"1346",7309803701,1177.5,2.08,-3.69,7.85,9,"M","M"
"1347",7309803702,1177.5,2.075,-3.695,7.85,9,"M","M"
"1348",7309803901,1197,1.84,-3.905,7.585,9,"M","M"
"1349",7309804002,1218.5,1.58,-4.13,7.295,9,"T","M"
"1350",7309804102,1209.5,1.685,-4.035,7.405,9,"M","M"
"1351",7309804201,1184,1.98,-3.75,7.715,9,"T","T"
"1352",7309804302,1220,1.54,-4.115,7.195,9,"C","C"
"1353",7309804501,1239.5,1.29,-4.34,6.915,9,"C","C"
"1354",7309804601,1017.5,3.105,-2.42,8.635,12,"T","T"
"1355",7309804602,1021,3.06,-2.465,8.585,12,"T","T"
"1356",7400700601,955.5,2.07,-3.41,7.55,12,"T","T"
"1357",7400700701,946,1.63,-3.96,7.225,12,"C","C"
"1358",7400700702,940,1.7,-3.895,7.3,12,"C","C"
"1359",7400700801,959,1.965,-3.53,7.465,12,"M","M"
"1360",7400700802,959,1.97,-3.525,7.465,12,"M","M"
"1361",7400700901,935.5,2.12,-3.39,7.635,12,"M","M"
"1362",7400701001,964,1.22,-4.37,6.82,12,"C","C"
"1363",7400701002,949.5,1.37,-4.24,6.98,12,"C","C"
"1365",7400701202,876.5,1.95,-3.69,7.59,12,"M","M"
"1366",7400701302,963,1.615,-4.095,7.325,18,"C","C"
"1367",7400701402,969.5,1.335,-4.325,6.99,18,"C","C"
"1368",7409500102,1069.5,1.42,-4.04,6.875,12,"M","C"
"1370",7409700301,937.5,3.26,-2.395,8.915,9,"T","M"
"1371",7409700302,937.5,3.26,-2.4,8.91,9,"M","M"
"1372",7409700401,926.5,3,-2.81,8.805,9,"T","T"
"1373",7409700402,927.5,2.985,-2.825,8.79,9,"C","C"
"1374",7409700601,991.5,2.14,-3.585,7.86,9,"C","C"
"1375",7409700602,990.5,2.15,-3.575,7.87,9,"C","C"
"1376",7409700801,977.5,2.215,-3.475,7.9,9,"C","C"
"1377",7409700802,967,2.345,-3.355,8.04,9,"C","C"
"1378",7409700901,986,2.055,-3.65,7.765,9,"C","C"
"1379",7409700902,986,2.06,-3.645,7.77,9,"C","C"
"1380",7409701002,986,2.015,-3.7,7.725,9,"T","T"
"1381",7409701101,983,3.395,-2.135,8.93,12,"M","M"
"1382",7409701201,932,2.335,-3.4,8.065,12,"C","C"
"1383",7409701202,932.5,2.335,-3.4,8.07,12,"M","C"
"1384",7409701302,950.5,2.09,-3.605,7.78,12,"M","M"
"1385",7409701402,1003,1.76,-3.935,7.455,9,"C","C"
"1386",7409701601,968.5,2.205,-3.49,7.9,9,"M","C"
"1387",7409701702,979.5,3.315,-2.205,8.835,12,"C","C"
"1388",7409701902,959.5,2.29,-3.365,7.945,9,"C","C"
"1389",7409702101,981.5,1.41,-4.185,7.01,12,"C","C"
"1390",7409702102,981.5,1.41,-4.19,7.01,12,"C","C"
"1391",7409702201,942,1.595,-4.145,7.335,12,"C","C"
"1392",7409702202,942,1.595,-4.14,7.335,12,"C","C"
"1393",7409702301,1003.5,1.535,-4.085,7.15,9,"C","C"
"1394",7409702401,954,1.445,-4.275,7.16,12,"C","C"
"1395",7409702402,954.5,1.445,-4.275,7.16,12,"M","M"
"1397",7409702502,990.5,1.65,-4.01,7.315,9,"C","C"
"1398",7409702601,978,1.82,-3.785,7.425,9,"C","C"
"1399",7409702602,977,1.835,-3.765,7.445,9,"M","M"
"1400",7409703001,972.5,3.08,-2.395,8.55,12,"M","M"
"1401",7409703002,972.5,3.08,-2.39,8.56,12,"T","T"
"1402",7409703101,988,1.47,-4.2,7.13,9,"C","C"
"1403",7409703102,991.5,1.42,-4.24,7.08,9,"C","C"
"1404",7409703201,1016.5,1.055,-4.565,6.68,9,"T","C"
"1405",7409703202,1016.5,1.055,-4.565,6.68,9,"M","C"
"1406",7409703501,1031,1.49,-4.005,6.98,15,"C","C"
"1407",7409703502,1024,1.575,-3.93,7.08,15,"C","C"
"1408",7409703601,949.5,0.425,-5.51,6.355,15,"T","T"
"1409",7409703602,949.5,0.425,-5.5,6.355,15,"M","C"
"1410",7409703701,969.5,0.105,-5.785,6.005,15,"C","C"
"1411",7409703901,951,0.305,-5.615,6.225,15,"C","C"
"1412",7409703902,953.5,0.265,-5.655,6.185,15,"M","M"
"1413",7409704001,1020,1.51,-4.005,7.02,15,"C","C"
"1414",7409704002,1019,1.52,-3.995,7.035,15,"C","C"
